id,datetime,Gravimetric_Mode_Selected,Water_Dosing_Sec_Mode,Return_Sand_Set_Kgs,Return_Sand_Act_Kgs,New_Sand_Set_kgs,New_Sand_Act_Kgs,Bentonite_Set_Kgs,Bentonite_Act_Kgs,Coal_Dust_Set_Kgs,Coal_Dust_Act_Kgs,Fine_Dust_Set_Kgs,Fine_Dust_Act_Kgs,Water_Dosing_Set_Litre,Water_Dosing_Act_Litre
25218,"2025-05-12 07:01:25",1,1,0,0,0,0,0,0,0,0,0,0,0,0
25219,"2025-05-12 07:03:25",1,1,0,0,0,0,0,0,0,0,0,0,0,0
25220,"2025-05-12 07:05:25",1,1,1400,0,0,0,5,0,0,0,0,0,0,0
25221,"2025-05-12 07:07:25",1,1,1400,0,0,0,5,0,0,0,0,0,0,0
25222,"2025-05-12 07:09:25",1,1,1400,0,0,0,5,0,0,0,0,0,0,0
25223,"2025-05-12 07:11:26",1,1,1400,0,0,0,5,0,0,0,0,0,0,0
25224,"2025-05-12 07:13:26",1,1,1400,0,0,0,5,0,0,0,0,0,0,0
25225,"2025-05-12 07:15:26",1,1,1400,0,0,0,5,0,0,0,0,0,0,0
25226,"2025-05-12 07:17:26",1,1,1400,837.31,0,0,5,4.69,0,0,0,0,0,0
25227,"2025-05-12 07:19:26",1,1,1400,127.28,0,0,5,2.48,0,0,0,0,0,0
25228,"2025-05-12 07:21:26",1,1,1400,117.17,0,0,5,4.1,0,0,0,0,0,0
25229,"2025-05-12 07:23:26",1,1,1400,115.17,0,0,5,4.89,0,-0.2,0,0,0,0
25230,"2025-05-12 07:25:26",1,1,1400,115.17,0,0,5,4.89,0,-0.2,0,0,0,0
25231,"2025-05-12 07:27:27",1,1,1400,113.16,0,0,5,4.89,0,-0.2,0,0,0,0
25232,"2025-05-12 07:29:27",1,1,1400,0,0,0,5,0,0,0,0,0,0,0
25233,"2025-05-12 07:31:27",1,1,1400,1419.61,0,0,5,3.88,0,0,0,0,0,0
25234,"2025-05-12 07:33:27",1,1,1400,423.43,0,0,5,3.07,0,0,0,0,0,0
25235,"2025-05-12 07:35:27",1,1,1400,1426.62,0,-1,5,5.28,0,0,0,0,0,0
25236,"2025-05-12 07:37:27",1,1,1400,1422.61,0,0,5,3.88,0,0,0,0,0,0
25237,"2025-05-12 07:39:27",1,1,1400,1335.21,0,0,5,3.47,0,0,0,0,0,0
25238,"2025-05-12 07:41:28",1,1,1400,425.25,0,0,5,2.07,0,0,0,0,0,0
25239,"2025-05-12 07:43:28",1,1,1400,1426.53,0,0,5,4.88,0,0,0,0,0,0
25240,"2025-05-12 07:45:28",1,1,1400,1425.53,0,0,5,3.07,0,0,0,0,0,0
25241,"2025-05-12 07:47:28",1,1,1400,0,0,0,5,0,0,0,0,0,0,0
25242,"2025-05-12 07:49:28",1,1,1400,1426.8,0,-0.27,5,4.87,0,0,0,0,0,0
25243,"2025-05-12 07:51:28",1,1,1400,1426.8,0,-0.27,5,5.08,0,0,0,0,0,0
25244,"2025-05-12 07:53:29",1,1,1400,1422.52,0,0,5,2.87,0,0,0,0,0,0
25245,"2025-05-12 07:55:29",1,1,1400,201.29,0,0,5,0.46,0,0,0,0,0,0
25246,"2025-05-12 07:57:29",1,1,1400,1423.53,0,0,5,3.87,0,0,0,0,0,0
25247,"2025-05-12 07:59:29",1,1,1400,0,0,0,5,0,0,0,0,0,0,0
25248,"2025-05-12 08:01:29",1,1,1400,1427.44,0,-1,5,3.06,0,0,0,0,0,0
25249,"2025-05-12 08:03:29",1,1,1400,1427.44,0,-1,5,2.86,0,0,0,0,0,0
25250,"2025-05-12 08:05:29",1,1,1400,1427.44,0,-1,5,4.06,0,0,0,0,0,0
25251,"2025-05-12 08:07:30",1,1,1400,1427.44,0,-1,5,4.87,0,0,0,0,0,0
